program_name_and_version,EnergyPlus 23.1
program_version_release_date,03/28/23
program_name_short,E+
results_submission_date,05/09/2023
organization,National Renewable Energy Laboratory
organization_short,NREL
CE100 clg_energy_consumption_total,1521.32
CE100 clg_energy_consumption_supply_fan,143.72
CE100 evaporator_coil_load_total,3797.78
CE100 evaporator_coil_load_sensible,3797.78
CE100 evaporator_coil_load_latent,-1.7053e-14
CE100 zone_load_total,3654.07
CE100 zone_load_sensible,3654.07
CE100 zone_load_latent,4.88399e-13
CE100 feb_mean_cop,2.4019
CE100 feb_mean_idb,22.2098
CE100 feb_mean_humidity_ratio,0.00740074
CE100 feb_max_cop,2.40376
CE100 feb_max_idb,22.2101
CE100 feb_max_humidity_ratio,0.00740074
CE100 feb_min_cop,2.39883
CE100 feb_min_idb,22.2095
CE100 feb_min_humidity_ratio,0.00740074
CE110 clg_energy_consumption_total,1070.17
CE110 clg_energy_consumption_supply_fan,127.739
CE110 evaporator_coil_load_total,3763.19
CE110 evaporator_coil_load_sensible,3763.19
CE110 evaporator_coil_load_latent,1.45519e-14
CE110 zone_load_total,3635.45
CE110 zone_load_sensible,3635.45
CE110 zone_load_latent,3.94039e-13
CE110 feb_mean_cop,3.39707
CE110 feb_mean_idb,22.2
CE110 feb_mean_humidity_ratio,0.00650555
CE110 feb_max_cop,3.39978
CE110 feb_max_idb,22.2
CE110 feb_max_humidity_ratio,0.00650555
CE110 feb_min_cop,3.39265
CE110 feb_min_idb,22.2
CE110 feb_min_humidity_ratio,0.00650555
CE120 clg_energy_consumption_total,1007.53
CE120 clg_energy_consumption_supply_fan,116.592
CE120 evaporator_coil_load_total,3746.96
CE120 evaporator_coil_load_sensible,3746.96
CE120 evaporator_coil_load_latent,-7.27596e-15
CE120 zone_load_total,3630.36
CE120 zone_load_sensible,3630.36
CE120 zone_load_latent,3.68118e-13
CE120 feb_mean_cop,3.60323
CE120 feb_mean_idb,26.7001
CE120 feb_mean_humidity_ratio,0.00793847
CE120 feb_max_cop,3.60614
CE120 feb_max_idb,26.7001
CE120 feb_max_humidity_ratio,0.00793847
CE120 feb_min_cop,3.59851
CE120 feb_min_idb,26.7001
CE120 feb_min_humidity_ratio,0.00793847
CE130 clg_energy_consumption_total,108.722
CE130 clg_energy_consumption_supply_fan,10.2709
CE130 evaporator_coil_load_total,216.987
CE130 evaporator_coil_load_sensible,216.987
CE130 evaporator_coil_load_latent,-1.02318e-15
CE130 zone_load_total,206.716
CE130 zone_load_sensible,206.716
CE130 zone_load_latent,2.66454e-14
CE130 feb_mean_cop,1.90132
CE130 feb_mean_idb,22.2001
CE130 feb_mean_humidity_ratio,0.00740283
CE130 feb_max_cop,1.90354
CE130 feb_max_idb,22.2001
CE130 feb_max_humidity_ratio,0.00740283
CE130 feb_min_cop,1.89791
CE130 feb_min_idb,22.2001
CE130 feb_min_humidity_ratio,0.00740283
CE140 clg_energy_consumption_total,67.9637
CE140 clg_energy_consumption_supply_fan,8.11163
CE140 evaporator_coil_load_total,196.205
CE140 evaporator_coil_load_sensible,196.205
CE140 evaporator_coil_load_latent,4.54747e-16
CE140 zone_load_total,188.093
CE140 zone_load_sensible,188.093
CE140 zone_load_latent,2.0691e-14
CE140 feb_mean_cop,2.76755
CE140 feb_mean_idb,22.2001
CE140 feb_mean_humidity_ratio,0.00651125
CE140 feb_max_cop,2.77082
CE140 feb_max_idb,22.2001
CE140 feb_max_humidity_ratio,0.00651125
CE140 feb_min_cop,2.76254
